name;Implementing.Jurisdictions;Affected.Jurisdictions;comtrade;gta.name;ISO;UN;gta.id;G20;N10;EU.G20;EU27;EU28;euro.area;LDC;BACI;sacu;mercosur;CU
Uruguay;Uruguay;Uruguay;Uruguay;Uruguay;URY;858;224;0;0;0;0;0;0;0;858;0;1;0
United States Virgin Islands;United States Virgin Islands;United States Virgin Islands;United States Virgin Islands;US Virgin Islands;VIR;850;223;0;0;0;0;0;0;0;;0;0;0
Uzbekistan;Uzbekistan;Uzbekistan;Uzbekistan;Uzbekistan;UZB;860;225;0;0;0;0;0;0;0;860;0;0;0
Vanuatu;Vanuatu;Vanuatu;Vanuatu;Vanuatu;VUT;548;226;0;0;0;0;0;0;1;548;0;0;0
Holy See;Holy See;Holy See;Holy See;Vatican;na;336;90;0;0;0;0;0;0;0;;0;0;0
Venezuela;Venezuela;Venezuela;Venezuela;Venezuela;VEN;862;227;0;0;0;0;0;0;0;862;0;1;0
Viet Nam;Viet Nam;Viet Nam;Viet Nam;Vietnam;VNM;704;228;0;1;0;0;0;0;0;704;0;0;0
Wallis and Futuna Islands;Wallis and Futuna Islands;Wallis and Futuna Islands;Wallis and Futuna Islands;Wallis & Futuna Islands;na;876;229;0;0;0;0;0;0;0;;0;0;0
Western Sahara;Western Sahara;Western Sahara;Western Sahara;Western Sahara;na;732;230;0;0;0;0;0;0;0;732;0;0;0
Yemen;Yemen;Yemen;Yemen;Yemen;YEM;887;231;0;0;0;0;0;0;1;887;0;0;0
Zambia;Zambia;Zambia;Zambia;Zambia;ZMB;894;232;0;0;0;0;0;0;1;894;0;0;0
Zimbabwe;Zimbabwe;Zimbabwe;Zimbabwe;Zimbabwe;ZWE;716;233;0;0;0;0;0;0;0;716;0;0;0
European Union;European Union;European Union;European Union;;na;6666;;1;0;0;0;0;0;0;;0;0;0
