name;Implementing.Jurisdictions;Affected.Jurisdictions;comtrade;gta.name;ISO;UN;gta.id;G20;N10;EU.G20;EU27;EU28;euro.area;LDC;BACI;sacu;mercosur;CU
Falkland Islands (Malvinas);Falkland Islands (Malvinas);Falkland Islands (Malvinas);Falkland Islands (Malvinas);Falkland Islands;na;238;69;0;0;0;0;0;0;0;238;0;0;0
Fiji;Fiji;Fiji;Fiji;Fiji;FJI;242;70;0;0;0;0;0;0;0;242;0;0;0
Finland;Finland;Finland;Finland;Finland;FIN;246;71;0;0;0;1;1;1;0;246;0;0;0
France;France;France;France;France;FRA;251;72;1;0;1;1;1;1;0;251;0;0;0
French Guiana;French Guiana;French Guiana;French Guiana;French Guiana;na;254;73;0;0;0;0;0;0;0;;0;0;0
French Polynesia;French Polynesia;French Polynesia;French Polynesia;French Polynesia;na;258;74;0;0;0;0;0;0;0;258;0;0;0
Gabon;Gabon;Gabon;Gabon;Gabon;GAB;266;75;0;0;0;0;0;0;0;266;0;0;0
Gambia;Gambia;Gambia;Gambia;Gambia;GMB;270;76;0;0;0;0;0;0;1;270;0;0;0
Georgia;Georgia;Georgia;Georgia;Georgia;GEO;268;77;0;0;0;0;0;0;0;268;0;0;0
Germany;Germany;Germany;Germany;Germany;DEU;276;78;1;0;1;1;1;1;0;276;0;0;0
Ghana;Ghana;Ghana;Ghana;Ghana;GHA;288;79;0;0;0;0;0;0;0;288;0;0;0
Greece;Greece;Greece;Greece;Greece;GRC;300;80;0;0;0;1;1;1;0;300;0;0;0
Greenland;Greenland;Greenland;Greenland;Greenland;na;304;81;0;0;0;0;0;0;0;304;0;0;0
Grenada;Grenada;Grenada;Grenada;Grenada;na;308;82;0;0;0;0;0;0;0;308;0;0;0
Guadeloupe;Guadeloupe;Guadeloupe;Guadeloupe;Guadeloupe;na;312;83;0;0;0;0;0;0;0;;0;0;0
Guam;Guam;Guam;Guam;Guam;GUM;316;84;0;0;0;0;0;0;0;316;0;0;0
Guatemala;Guatemala;Guatemala;Guatemala;Guatemala;GTM;320;85;0;0;0;0;0;0;0;320;0;0;0
Guinea;Guinea;Guinea;Guinea;Guinea;GIN;324;86;0;0;0;0;0;0;1;324;0;0;0
Guinea-Bissau;Guinea-Bissau;Guinea-Bissau;Guinea-Bissau;Guinea-Bissau;GNB;624;87;0;0;0;0;0;0;1;624;0;0;0
Guyana;Guyana;Guyana;Guyana;Guyana;GUY;328;88;0;0;0;0;0;0;0;328;0;0;0
Haiti;Haiti;Haiti;Haiti;Haiti;HTI;332;89;0;0;0;0;0;0;1;332;0;0;0
Honduras;Honduras;Honduras;Honduras;Honduras;HND;340;91;0;0;0;0;0;0;0;340;0;0;0
Hong Kong;Hong Kong;Hong Kong;Hong Kong SAR      ;Hong Kong;HKG;344;92;0;0;0;0;0;0;0;344;0;0;0
na;na;na;China, Hong Kong SAR;Hong Kong;HKG;344;92;0;0;0;0;0;0;0;344;0;0;0
Hungary;Hungary;Hungary;Hungary;Hungary;HUN;348;93;0;0;0;1;1;0;0;348;0;0;0
Iceland;Iceland;Iceland;Iceland;Iceland;ISL;352;94;0;0;0;0;0;0;0;352;0;0;0
India;India;India;India;India;IND;699;95;1;0;0;0;0;0;0;699;0;0;0
Indonesia;Indonesia;Indonesia;Indonesia;Indonesia;IDN;360;96;1;0;0;0;0;0;0;360;0;0;0
Iran;Iran;Iran;Iran;Iran;IRN;364;97;0;1;0;0;0;0;0;364;0;0;0
Iraq;Iraq;Iraq;Iraq;Iraq;IRQ;368;98;0;0;0;0;0;0;0;368;0;0;0
Ireland;Ireland;Ireland;Ireland;Ireland;IRL;372;99;0;0;0;1;1;1;0;372;0;0;0
Israel;Israel;Israel;Israel;Israel;ISR;376;100;0;1;0;0;0;0;0;376;0;0;0
Italy;Italy;Italy;Italy;Italy;ITA;381;101;1;0;1;1;1;1;0;381;0;0;0
CÌ«te d'Ivoire;CÌ«te d'Ivoire;CÌ«te d'Ivoire;C™te d'Ivoire                   ;Ivory Coast;CIV;384;49;0;0;0;0;0;0;0;384;0;0;0
na;na;na;CÌ«te d'Ivoire;Ivory Coast;CIV;384;49;0;0;0;0;0;0;0;384;0;0;0
Jamaica;Jamaica;Jamaica;Jamaica;Jamaica;JAM;388;102;0;0;0;0;0;0;0;388;0;0;0
Japan;Japan;Japan;Japan;Japan;JPN;392;103;1;0;0;0;0;0;0;392;0;0;0
Jordan;Jordan;Jordan;Jordan;Jordan;JOR;400;104;0;0;0;0;0;0;0;400;0;0;0
Kazakhstan;Kazakhstan;Kazakhstan;Kazakhstan;Kazakhstan;KAZ;398;105;0;0;0;0;0;0;0;398;0;0;1
Kenya;Kenya;Kenya;Kenya;Kenya;KEN;404;106;0;0;0;0;0;0;0;404;0;0;0
Kiribati;Kiribati;Kiribati;Kiribati;Kiribati;KIR;296;107;0;0;0;0;0;0;1;296;0;0;0
Kuwait;Kuwait;Kuwait;Kuwait;Kuwait;KWT;414;108;0;0;0;0;0;0;0;414;0;0;0
Kyrgyzstan;Kyrgyzstan;Kyrgyzstan;Kyrgyzstan;Kyrgyzstan;KGZ;417;109;0;0;0;0;0;0;0;417;0;0;0
Lao People's Democratic Republic;Lao People's Democratic Republic;Lao People's Democratic Republic;Lao People's Dem. Rep.                ;Lao;LAO;418;110;0;0;0;0;0;0;1;418;0;0;0
na;na;na;Lao People's Dem. Rep.;Lao;LAO;418;110;0;0;0;0;0;0;1;418;0;0;0
Latvia;Latvia;Latvia;Latvia;Latvia;LVA;428;111;0;0;0;1;1;1;0;428;0;0;0
Lebanon;Lebanon;Lebanon;Lebanon;Lebanon;LBN;422;112;0;0;0;0;0;0;0;422;0;0;0
Lesotho;Lesotho;Lesotho;Lesotho;Lesotho;LSO;426;113;0;0;0;0;0;0;1;;1;0;0
Liberia;Liberia;Liberia;Liberia;Liberia;LBR;430;114;0;0;0;0;0;0;1;430;0;0;0
Libyan Arab Jamahiriya;Libyan Arab Jamahiriya;Libyan Arab Jamahiriya;Libya;Libya;LBY;434;115;0;0;0;0;0;0;0;434;0;0;0
Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;Liechtenstein;na;438;116;0;0;0;0;0;0;0;;0;0;0
Lithuania;Lithuania;Lithuania;Lithuania;Lithuania;LTU;440;117;0;0;0;1;1;1;0;440;0;0;0
Luxembourg;Luxembourg;Luxembourg;Luxembourg;Luxembourg;LUX;442;118;0;0;0;1;1;1;0;;0;0;0
Macao;Macao;Macao;Macao;Macao;na;446;119;0;0;0;0;0;0;0;446;0;0;0
Macedonia;Macedonia;Macedonia;TFYR of Macedonia;Macedonia;MKD;807;120;0;0;0;0;0;0;0;807;0;0;0
Madagascar;Madagascar;Madagascar;Madagascar;Madagascar;MDG;450;121;0;0;0;0;0;0;1;450;0;0;0
Malawi;Malawi;Malawi;Malawi;Malawi;MWI;454;122;0;0;0;0;0;0;1;454;0;0;0
Malaysia;Malaysia;Malaysia;Malaysia;Malaysia;MYS;458;123;0;1;0;0;0;0;0;458;0;0;0
Maldives;Maldives;Maldives;Maldives;Maldives;MDV;462;124;0;0;0;0;0;0;0;462;0;0;0
Mali;Mali;Mali;Mali;Mali;MLI;466;125;0;0;0;0;0;0;1;466;0;0;0
Malta;Malta;Malta;Malta;Malta;MLT;470;126;0;0;0;1;1;1;0;470;0;0;0
Marshall Islands;Marshall Islands;Marshall Islands;Marshall Islands;Marshall Islands;na;584;127;0;0;0;0;0;0;0;584;0;0;0
