year_month,World trade,World imports,Advanced economies,United States,Japan,Euro Area,Other advanced economies,Emerging economies,Emerging Asia,Eastern Europe / CIS,Latin America,Africa and Middle East,World exports,Advanced economies1,United States1,Japan1,Euro Area1,Other advanced economies1,Emerging economies1,Emerging Asia1,Eastern Europe / CIS1,Latin America1,Africa and Middle East1,World trade1,World imports1,Advanced economies2,United States2,Japan2,Euro Area2,Other advanced economies2,Emerging economies2,Emerging Asia2,Eastern Europe / CIS2,Latin America2,Africa and Middle East2,World exports1,Advanced economies3,United States3,Japan3,Euro Area3,Other advanced economies3,Emerging economies3,Emerging Asia3,Eastern Europe / CIS3,Latin America3,Africa and Middle East3,Fuels (HWWI),Primary commodities excluding fuels (HWWI)
2009-04,84.784381784672576,85.348479728370222,87.681107448115498,83.502974282062567,86.305255664465676,89.784311699002657,87.924325900705426,81.647005982355296,80.239654373579299,78.327423665249881,74.432705561807879,98.883760845953333,84.220283840974929,85.161207532162607,80.754791868259375,70.423298941646095,87.344188483010257,88.876336744567141,82.942537011287726,78.294948027904468,89.470206129035134,92.622508661654692,92.364115150343068,88.645491681609371,88.218060685667822,89.691633077426545,90.542228064410111,79.656323071984943,91.319374163801015,89.122789722455011,85.688528799252467,84.162393437417762,92.928728783055263,91.942882647037166,84.311535789394938,89.07292267755092,92.04294528874,94.294416243654823,89.36141860495789,94.225366985634977,87.658335562076118,84.928994132678085,92.042156369274238,67.377452140874624,79.019600431965586,72.018151903114187,65.224330843884985,65.75434374301112
2009-05,83.782870329763142,84.102924928080782,86.051483294947715,80.823367158209095,86.197787428304395,88.718294613267858,85.74986821725193,81.010902323495046,80.258476538206196,78.243622290032945,71.42247318463258,96.8761588224327,83.462815731445517,85.382708043674342,82.67038779069668,74.774356219523838,87.534951335398503,86.729969901189151,80.855658170990409,77.126478325246453,88.558847490480801,82.501175507207435,92.544913439789696,90.737713679337162,89.842379253134155,92.087670827609912,92.119618797239553,80.258831059745717,94.152125493632909,91.946863312467372,86.038405956650323,84.992069878738192,89.720848091229769,92.086759420386642,84.327598783410053,91.633048105540155,94.677949588408282,94.700507614213194,91.315633999435974,97.317390564356913,90.787319021016032,87.262772612103106,92.701706884992674,74.137502972643134,86.198227921688741,74.127259512120844,75.409202694901722,69.66148590745091
2009-06,85.712303881549445,86.035170432830157,86.740270217435821,80.933985134102315,86.51826202261141,88.885220290039584,87.890418207506087,84.916299933716061,84.754140782964583,79.263856391966144,77.252305708687416,96.991369690431426,85.38943733026872,86.68821336639752,84.152481247236167,78.058993233537322,88.159614802067438,88.485055765998339,83.625737491291773,79.82925313839678,89.488633582284933,89.245845398722693,93.11833724653475,93.134917904281338,92.747228191196044,95.596408477029527,94.643443969766665,85.066583241831907,98.163086285404219,94.969260140798085,88.111170396990659,87.313560769241647,92.619094529742114,92.647531464964104,85.967810150427866,93.522607617366617,97.101901163966701,95.675126903553306,92.995350286005063,100.40216809559402,93.124141680077443,88.480337906490846,92.871027688825279,77.852146626989125,86.343457906382099,78.608870930386942,89.194786816479947,73.28273962083415
2009-07,87.66822245268196,87.683814762042758,88.928773039875196,86.577729679788888,88.477551009055702,90.021253743453158,89.123957127382255,85.708282901011742,85.555346332061944,80.172152595381974,79.429538533512115,96.19054741055038,87.652630143321161,89.29973014965941,86.503474712241456,79.891655961019211,90.495296672209648,92.023014102522708,85.41591654902318,81.809370080379139,93.013214403439946,89.286360965099917,94.491884666592853,93.583659019751508,93.135215611909729,95.738626273184551,94.091357213276353,88.000351734371819,98.226492617058341,95.049936750354746,88.830159277824876,88.015286222615302,91.315407299659142,92.978926293775359,87.888461761976359,94.032102427593287,97.708396768493657,95.350253807106611,94.544346979979608,101.33575900483207,93.414871158028092,88.808723307988132,93.097207155943266,80.831864551211623,85.106947488329709,79.01007969874864,83.639402170470817,73.187443470481938
2009-08,87.687441734679552,87.733560720053617,89.348048085516751,84.541105111943097,89.355557696706427,91.044058989496847,90.378248209112527,85.171650584994751,85.438227797181924,80.443140216550503,75.880553376573332,96.129393187624899,87.641322749305488,89.231783609197947,85.926137328518266,82.25235205938597,90.449435523433621,91.362614430545733,85.481523457926073,82.283695408770583,94.574686869739381,86.243447550978757,94.498105985458935,95.146023290148236,94.827750243522871,97.484820825404512,95.511008872822856,90.233115010062008,100.14321068716349,96.566435980782913,90.384720857305865,89.89249798785454,91.361519238892598,95.75711128804943,87.641739481143858,95.4642963367736,98.923600779156686,95.918781725888323,96.410863056773536,102.16393366866551,95.470285094027389,90.556704919415282,93.362048666456644,84.538670291698836,89.591824848542231,83.329968420949214,92.178234126373738,79.572285544078682
2009-09,90.564801971060987,91.074327038521147,92.351195209247777,89.315588046353213,95.878775419686363,93.092687314595679,92.523845572062925,89.048159737558521,89.121942685838135,83.117787286861486,82.925062520853658,98.320632712793042,90.055276903600827,91.087239947913346,89.902459236362873,85.783089529763757,91.850290632269306,92.232904502291333,88.653901297295988,86.045593683215401,95.428942022002772,91.091195578453835,94.725249548156285,96.39653221577376,95.914889561560514,98.782470617094333,95.66874794610581,90.721389014426919,102.17988027815112,97.903445499419576,91.176190952542825,90.675793632056298,96.928338299383782,93.959295268887786,88.39523624869345,96.878174869987006,100.62191433504876,95.756345177664983,98.103958230238334,104.55536524368696,97.01228143852623,91.651214447031947,94.2158926545615,86.49660511160053,88.104623220687543,86.804987357241956,87.754501908255349,78.238139439148014
2009-10,91.760626333871826,91.811561584055781,92.971687924816379,90.562850936634518,91.27751746613805,94.270952418062222,93.230079336262861,89.970643225744013,89.846371496148535,84.653361424960707,83.262923167749918,100.63730626115908,91.709691083687872,92.584821976945008,92.997505338813568,88.547414168042778,92.682742884845766,93.575801603273518,90.52128894768768,88.34366546484749,97.396173771277148,92.857045332089598,94.517507845513805,97.90318404148374,97.283808092435606,100.06597639835337,96.457443312520525,96.535870474284849,102.75120870713633,99.337728418140401,92.702465087498354,92.38602977964112,98.440864134855914,95.651044106323567,88.896646879743926,98.522559990531875,102.134244263063,95.756345177664983,100.33506789489404,106.12461516458511,99.164063425439466,93.502928922482837,94.920734635066125,89.831362826973375,92.249539828831374,90.612476597123873,95.058803942822934,80.811135498657151
2009-11,92.457790786675957,92.623572407723017,93.901878957434008,91.918265360020044,93.331959893794632,94.203593838563563,95.163868845020403,90.595122649940336,89.816170413435401,87.232078242325301,86.135938581453786,101.44051472966463,92.292009165628897,92.915481329095925,92.026703389139129,91.329855189358781,93.05028440794311,93.738385520240257,91.445352218068493,89.488496318740332,97.240842315383688,94.108687130056026,94.75640894838088,99.028290214358321,98.671246436137295,101.25277091592052,97.877094972067027,96.931614397993357,103.98769369635306,100.57020163057238,94.405966937172934,94.497121109719004,97.779252760344463,97.246088881699251,89.638538679473299,99.385333992579334,102.95672892651383,96.56852791878174,101.42413143528239,106.53826380348306,100.60001424608501,94.454522993784423,95.191774374553333,94.391050163335308,93.30401383043197,92.141859467496843,99.585413654385917,83.288835407814105
2009-12,94.951067278120973,95.430983383691796,94.738102859117305,94.345716853355043,94.349808865383594,94.951495695045708,94.8101476365661,96.530464046262921,95.817480770444803,90.544748819947841,92.107962403408536,108.35941908710474,94.471151172550165,93.957629096227549,94.94505993551418,91.589210638077944,93.959347218799124,94.208313771203549,95.168499120254126,94.41427634357089,101.36653928668831,94.575993540131975,95.386776010276037,98.676512020331671,98.303808201317935,100.40502871094014,98.113703581991444,97.353646359307689,102.55517836905533,99.510474934980081,95.017820913631397,95.53513814762465,97.731407212011661,95.660104465625977,90.498437862423927,99.049215839345408,102.03501360502325,97.218274111675129,99.878294520137956,105.17258155758705,99.845250652498549,95.044682775264391,96.029039703648834,92.121348220338788,95.256748045498682,92.07848892605719,96.293333864158285,87.005385271549514
2010-01,94.887042929071242,94.53261436790541,94.230414704465602,92.708885477268396,94.652286653523092,95.260111455121972,93.605441787764974,95.012152577456845,95.223843589369224,87.305126567905873,90.316742287788188,102.93699108721249,95.241471490237089,94.339546023129046,94.167061147977876,95.377776516392714,93.891475492585911,94.895119170649252,96.466259873189742,96.372423413777568,98.779158812084361,93.817565085204464,97.902816773623968,99.238596623973578,99.211534684863082,100.98091624378112,99.29674663161353,97.2742843636278,102.58673891106824,100.67231197013784,96.412975274593379,97.159993213841503,95.671291888434254,97.763013052122773,91.432272101134103,99.265658563084074,101.35474886814805,98.030456852791886,98.979330652509915,103.81376526139987,99.637519116222336,96.490813356445798,96.219562846786758,100.15583353306303,96.907461811165518,94.998570642655963,100.40843360194283,88.434827526832365
2010-02,95.957631000485776,95.84390874128735,95.094781185425092,95.12856303671758,97.354964838491512,94.621394528055234,95.201059674651617,97.03264364183255,96.726893368674709,87.296515725750425,95.281566485500406,105.74145987161572,96.071353259684201,95.565430723858739,95.684453859556328,94.826146078671314,94.375902013057711,97.925682731352609,96.758381253848526,96.452262617083846,99.206548365136982,96.272885200817782,97.120091062458513,97.632907646926071,97.43575741962394,98.34691651982024,99.217877094972053,96.320927093464803,98.809116112302732,97.474755315752006,96.007631609197702,96.706028869615452,97.40017156595836,95.762209940120457,91.883631424643752,97.830057874228189,98.980304246100332,97.705583756345177,98.216353941459701,100.57733782107043,97.132803861715686,96.287236146286531,96.233391397633994,100.01106372402309,95.087850802451356,95.168857190505676,96.500717518489907,85.266601618550197
2010-03,97.57469074497746,98.203412563591954,97.748192231135661,96.931285784092921,96.352563284711877,98.670674410782468,97.266559229386914,98.925767912015417,98.534436882966034,91.638557938320446,97.784962083214467,106.15983673656039,96.945968926362966,97.766119932063162,98.766014077994271,95.378388183071493,97.963579792762843,97.659023429787851,95.832227868280583,93.880598426877796,100.46477997106714,99.516003801304578,98.91748195031731,98.707802303989411,98.512596528920668,99.049626877665517,99.61222477817941,96.824647270120892,99.426410668200603,98.594359939344855,97.659364653026628,98.148457688172002,98.200031049873033,98.978300471950803,93.372473037418487,98.903008079058139,99.47943946232067,98.436548223350258,98.587462988096945,100.40806909762672,98.673649427045461,98.103724396401063,99.040891428889182,96.589990429523283,95.015483054925014,97.639621601776952,98.288994370239564,87.401710382827304
2010-04,97.668701723612216,97.792401595992644,97.216031728474491,95.696772644355789,98.574946891163137,97.92163782331086,96.859405210141745,98.707000147040134,98.309845944196297,93.347045483699119,100.94648840888271,101.34156965295325,97.545001851231788,97.614303436008512,96.648490921695071,99.304535490368878,97.749249010504897,97.338318412046718,97.450892327717725,96.625840423219586,98.765038725655117,99.577410358419456,98.640614715536728,99.182464733489297,99.277592131576029,99.528385954466998,100.71639829116003,92.44809284722696,99.890878764509324,100.06935685700145,98.875170366975325,100.00828192593853,98.984855991134992,95.955587367500939,95.601399941473147,99.087337335402552,99.363110969418003,99.492385786802032,94.357023918087108,99.911681450554369,100.0455768483944,98.712367502853184,98.675662357104315,99.319076384093862,97.465476841027382,99.649230232995961,103.32266254553484,98.28387763301383
2010-05,100.04229756363938,100.04583437210297,101.04508892857251,99.22692458915148,101.27289929134092,101.75399798145774,101.25558059518536,98.4601915045982,98.819203572523904,96.239676959238821,95.352212925891976,100.97344152576251,100.0387607551758,99.696333701201553,99.107909409155567,101.0416517191604,100.03873467295321,98.943140168061547,100.50376667086537,101.17476486023241,100.1212926694752,99.462382789042067,98.446665932644919,96.909367694010086,97.020086412979353,95.89008073001358,99.927702924745304,94.864856002853145,94.225248322888177,95.803130949437644,98.849484146968521,98.73889609604727,99.983986566504768,101.75648362581182,95.683181912122237,96.79864897504082,95.511070020491061,99.979695431472081,94.885805439961644,94.349924720198217,95.263057828456326,98.534787912013186,99.125659441254697,98.647374855279864,98.306488482145355,95.682658692181036,95.17606799867535,93.462664294323602
